Player ID,X Location,Y Location,Total_Seconds_Remaining,Shot_Type_Encoded,Shot_Distance_Meters,Shot_Zone_Combined,Shot Made Flag
2045,144,95,252,2,5.1816,4,1
757,-151,353,0,3,11.5824,5,0
2400,-136,86,391,2,4.8768,3,0
962,227,10,575,3,6.7056000000000004,6,0
2772,119,210,212,3,7.315200000000001,5,0
1628404,-217,122,545,3,7.315200000000001,5,0
45,-51,186,485,2,5.7912,4,0
2248,30,22,185,2,0.9144000000000001,1,1
202704,-239,12,270,3,7.010400000000001,6,1
1627775,19,7,220,2,0.6096,1,1
952,5,61,335,2,1.8288000000000002,2,0
1626164,46,21,122,2,1.524,2,0
2049,13,187,114,2,5.486400000000001,4,0
965,-54,40,177,2,1.8288000000000002,2,0
1627785,165,189,462,3,7.62,5,0
1885,0,0,571,2,0.0,1,1
1888,-37,15,34,2,0.9144000000000001,1,0
45,-70,235,181,3,7.315200000000001,5,0
2572,169,26,489,2,5.1816,4,1
201933,-35,1,150,2,0.9144000000000001,1,1
201564,53,42,434,2,1.8288000000000002,2,1
203141,107,77,311,2,3.9624,4,1
101145,18,9,194,2,0.6096,1,1
101211,-16,3,404,2,0.3048,1,0
1627785,-24,-6,194,2,0.6096,1,1
2743,1,194,141,2,5.7912,4,0
1709,-46,72,441,2,2.4384,2,1
213,-82,156,528,2,5.1816,3,1
202683,10,11,303,2,0.3048,1,1
203897,6,-6,25,2,0.0,1,1
101108,-9,21,168,2,0.6096,1,0
1626162,37,67,174,2,2.1336,2,0
203561,-16,14,705,2,0.6096,1,0
2365,0,0,602,2,0.0,1,0
2545,42,52,594,2,1.8288000000000002,2,0
203187,234,20,556,3,7.010400000000001,6,1
954,147,214,322,3,7.62,5,0
693,0,0,696,2,0.0,1,0
1740,-32,9,463,2,0.9144000000000001,1,1
2584,62,28,703,2,1.8288000000000002,2,0
1938,-197,156,426,3,7.62,5,0
201951,17,14,149,2,0.6096,1,1
203999,11,27,536,2,0.6096,1,0
2624,-234,14,37,3,7.010400000000001,6,1
2449,-120,126,456,2,5.1816,3,1
201150,-175,1,645,2,5.1816,3,1
201585,0,20,213,2,0.6096,1,0
101132,-215,150,426,3,7.9248,5,1
201161,-239,31,298,3,7.315200000000001,6,1
201573,0,63,351,2,1.8288000000000002,2,1
2731,-5,71,415,2,2.1336,2,1
2402,-28,95,136,2,2.7432000000000003,2,1
2046,0,0,67,2,0.0,1,1
201143,32,257,199,3,7.62,5,0
2031,-141,145,638,2,6.096,3,0
358,121,141,621,2,5.486400000000001,4,0
2216,17,0,331,2,0.3048,1,1
389,-56,11,30,2,1.524,2,0
2060,38,207,178,2,6.4008,4,0
686,-1,128,342,2,3.6576000000000004,2,0
201146,72,247,35,3,7.62,5,1
201563,-5,11,456,2,0.3048,1,1
1629134,-16,138,246,2,3.9624,2,0
1740,-164,-13,367,2,4.8768,3,0
896,0,0,214,2,0.0,1,0
1711,-170,203,111,3,7.9248,5,0
200765,0,0,197,2,0.0,1,0
203490,33,101,256,2,3.048,2,0
185,0,0,75,2,0.0,1,1
2732,146,43,460,2,4.572,4,0
201144,2,173,682,2,5.1816,4,0
703,-160,-4,346,2,4.8768,3,0
203584,-35,180,542,2,5.486400000000001,4,1
979,111,113,4,2,4.572,4,0
201162,62,243,700,3,7.62,5,0
201583,0,0,485,2,0.0,1,1
224,47,92,634,2,3.048,2,0
1716,111,40,705,2,3.3528000000000002,4,0
202711,19,8,421,2,0.6096,1,0
96,-29,36,234,2,1.2192,2,0
1500,0,0,640,2,0.0,1,1
203933,64,75,605,2,2.7432000000000003,2,1
2617,0,0,180,2,0.0,1,1
1517,130,153,91,2,6.096,4,1
